UniProt ID,Gene,Protein name,
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,
O00151,PDLIM1,PDZ and LIM domain protein 1,
O00161,SNAP23,Synaptosomal-associated protein 23,
O00175,CCL24,C-C motif chemokine 24,
O00182,LGALS9,Galectin-9,
O00186,STXBP3,Syntaxin-binding protein 3,
O00192,ARVCF,Splicing regulator ARVCF,
O00194,RAB27B,Ras-related protein Rab-27B,
O00203,AP3B1,AP-3 complex subunit beta-1,
O00206,TLR4,Toll-like receptor 4,
O00213,APBB1,Amyloid beta precursor protein binding family B member 1,
O00214,LGALS8,Galectin-8,
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,
O00221,NFKBIE,NF-kappa-B inhibitor epsilon,
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,
O00238,BMPR1B,Bone morphogenetic protein receptor type-1B,
O00241,SIRPB1,Signal-regulatory protein beta-1,
O00244,ATOX1,Copper transport protein ATOX1,
O00253,AGRP,Agouti-related protein,
O00257,CBX4,E3 SUMO-protein ligase CBX4,
O00273,DFFA,DNA fragmentation factor subunit alpha,
O00291,HIP1,Huntingtin-interacting protein 1,
O00292,LEFTY2,Left-right determination factor 2,
O00299,CLIC1,Chloride intracellular channel protein 1,
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,
O00305,CACNB4,Voltage-dependent L-type calcium channel subunit beta-4,
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,
O00327,BMAL1,Basic helix-loop-helix ARNT-like protein 1,
O00329,PIK3CD,Phosphatidylinositol 4,
O00337,SLC28A1,Sodium/nucleoside cotransporter 1,
O00338,SULT1C2,Sulfotransferase 1C2,
O00339,MATN2,Matrilin-2,
O00399,DCTN6,Dynactin subunit 6,
O00401,WASL,Actin nucleation-promoting factor WASL,
O00408,PDE2A,cGMP-dependent 3',
O00422,SAP18,Histone deacetylase complex subunit SAP18,
O00423,EML1,Echinoderm microtubule-associated protein-like 1,
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,
O00451,GFRA2,GDNF family receptor alpha-2,
O00468,AGRN,Agrin,
O00499,BIN1,Myc box-dependent-interacting protein 1,
O00522,KRIT1,Krev interaction trapped protein 1,
O00533,CHL1,Neural cell adhesion molecule L1-like protein,
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,
O00548,DLL1,Delta-like protein 1,
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,
O00567,NOP56,Nucleolar protein 56,
O00584,RNASET2,Ribonuclease T2,
O00585,CCL21,C-C motif chemokine 21,
O00591,GABRP,Gamma-aminobutyric acid receptor subunit pi,
O00592,PODXL,Podocalyxin,
O00602,FCN1,Ficolin-1,
O00622,CCN1,CCN family member 1,
O00626,CCL22,C-C motif chemokine 22,
O00748,CES2,Cocaine esterase,
O00755,WNT7A,Protein Wnt-7a,
O14497,ARID1A,AT-rich interactive domain-containing protein 1A,
O14503,BHLHE40,Class E basic helix-loop-helix protein 40,
O14511,NRG2,Pro-neuregulin-2,
O14513,NCKAP5,Nck-associated protein 5,
O14514,ADGRB1,Adhesion G protein-coupled receptor B1,
O14523,C2CD2L,Phospholipid transfer protein C2CD2L,
O14526,FCHO1,F-BAR domain only protein 1,
O14529,CUX2,Homeobox protein cut-like 2,
O14530,TXNDC9,Thioredoxin domain-containing protein 9,
O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,
O14558,HSPB6,Heat shock protein beta-6,
O14578,CIT,Citron Rho-interacting kinase,
O14579,COPE,Coatomer subunit epsilon,
O14594,NCAN,Neurocan core protein,
O14618,CCS,Copper chaperone for superoxide dismutase,
O14625,CXCL11,C-X-C motif chemokine 11,
O14639,ABLIM1,Actin-binding LIM protein 1,
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,
O14662,STX16,Syntaxin-16,
O14668,PRRG1,Transmembrane gamma-carboxyglutamic acid protein 1,
O14713,ITGB1BP1,Integrin beta-1-binding protein 1,
O14717,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,
O14737,PDCD5,Programmed cell death protein 5,
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,
O14770,MEIS2,Homeobox protein Meis2,
O14773,TPP1,Tripeptidyl-peptidase 1,
O14776,TCERG1,Transcription elongation regulator 1,
O14786,NRP1,Neuropilin-1,
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,
O14791,APOL1,Apolipoprotein L1,
O14793,MSTN,Growth/differentiation factor 8,
O14798,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,
O14813,PHOX2A,Paired mesoderm homeobox protein 2A,
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,
O14836,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,
O14841,OPLAH,5-oxoprolinase,
O14867,BACH1,Transcription regulator protein BACH1,
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,
O14893,GEMIN2,Gem-associated protein 2,
O14904,WNT9A,Protein Wnt-9a,
O14917,PCDH17,Protocadherin-17,
O14924,RGS12,Regulator of G-protein signaling 12,
O14931,NCR3,Natural cytotoxicity triggering receptor 3,
O14933,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,
O14944,EREG,Proepiregulin,
O14958,CASQ2,Calsequestrin-2,
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,
O14967,CLGN,Calmegin,
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,
O14976,GAK,Cyclin-G-associated kinase,
O15013,ARHGEF10,Rho guanine nucleotide exchange factor 10,
O15018,PDZD2,PDZ domain-containing protein 2,
O15020,SPTBN2,Spectrin beta chain,
O15021,MAST4,Microtubule-associated serine/threonine-protein kinase 4,
O15031,PLXNB2,Plexin-B2,
O15033,AREL1,Apoptosis-resistant E3 ubiquitin protein ligase 1,
O15049,N4BP3,NEDD4-binding protein 3,
O15061,SYNM,Synemin,
O15063,GARRE1,Granule associated Rac and RHOG effector protein 1,
O15066,KIF3B,Kinesin-like protein KIF3B,
O15068,MCF2L,Guanine nucleotide exchange factor DBS,
O15069,NACAD,NAC-alpha domain-containing protein 1,
O15078,CEP290,Centrosomal protein of 290 kDa,
O15083,ERC2,ERC protein 2,
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1,
O15117,FYB1,FYN-binding protein 1,
O15123,ANGPT2,Angiopoietin-2,
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,
O15156,ZBTB7B,Zinc finger and BTB domain-containing protein 7B,
O15164,TRIM24,Transcription intermediary factor 1-alpha,
O15169,AXIN1,Axin-1,
O15182,CETN3,Centrin-3,
O15194,CTDSPL,CTD small phosphatase-like protein,
O15197,EPHB6,Ephrin type-B receptor 6,
O15211,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,
O15212,PFDN6,Prefoldin subunit 6,
O15213,WDR46,WD repeat-containing protein 46,
O15226,NKRF,NF-kappa-B-repressing factor,
O15232,MATN3,Matrilin-3,
O15234,CASC3,Protein CASC3,
O15240,VGF,Neurosecretory protein VGF,
O15263,DEFB4A,,
O15264,MAPK13,Mitogen-activated protein kinase 13,
O15265,ATXN7,Ataxin-7,
O15266,SHOX,Short stature homeobox protein,
O15269,SPTLC1,Serine palmitoyltransferase 1,
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,
O15305,PMM2,Phosphomannomutase 2,
O15327,INPP4B,Inositol polyphosphate 4-phosphatase type II,
O15335,CHAD,Chondroadherin,
O15350,TP73,Tumor protein p73,
O15353,FOXN1,Forkhead box protein N1,
O15354,GPR37,Prosaposin receptor GPR37,
O15357,INPPL1,Phosphatidylinositol 3,
O15381,NVL,Nuclear valosin-containing protein-like,
O15382,BCAT2,Branched-chain-amino-acid aminotransferase,
O15389,SIGLEC5,Sialic acid-binding Ig-like lectin 5,
O15391,YY2,Transcription factor YY2,
O15394,NCAM2,Neural cell adhesion molecule 2,
O15400,STX7,Syntaxin-7,
O15405,TOX3,TOX high mobility group box family member 3,
O15417,TNRC18,Trinucleotide repeat-containing gene 18 protein,
O15444,CCL25,C-C motif chemokine 25,
O15455,TLR3,Toll-like receptor 3,
O15467,CCL16,C-C motif chemokine 16,
O15479,MAGEB2,Melanoma-associated antigen B2,
O15480,MAGEB3,Melanoma-associated antigen B3,
O15481,MAGEB4,Melanoma-associated antigen B4,
O15496,PLA2G10,Group 10 secretory phospholipase A2,
O15498,YKT6,Synaptobrevin homolog YKT6,
O15527,OGG1,N-glycosylase/DNA lyase,
O15539,RGS5,Regulator of G-protein signaling 5,
O15553,MEFV,Pyrin,
O43150,ASAP2,Arf-GAP with SH3 domain,
O43155,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,
O43164,PJA2,E3 ubiquitin-protein ligase Praja-2,
O43167,ZBTB24,Zinc finger and BTB domain-containing protein 24,
O43184,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,
O43186,CRX,Cone-rod homeobox protein,
O43240,KLK10,Kallikrein-10,
O43247,CIMIP4,Ciliary microtubule inner protein 4,
O43278,SPINT1,Kunitz-type protease inhibitor 1,
O43280,TREH,Trehalase,
O43283,MAP3K13,Mitogen-activated protein kinase kinase kinase 13,
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,
O43291,SPINT2,Kunitz-type protease inhibitor 2,
O43295,SRGAP3,SLIT-ROBO Rho GTPase-activating protein 3,
O43296,ZNF264,Zinc finger protein 264,
O43301,HSPA12A,Heat shock 70 kDa protein 12A,
O43303,CCP110,Centriolar coiled-coil protein of 110 kDa,
O43310,CTIF,CBP80/20-dependent translation initiation factor,
O43312,MTSS1,Protein MTSS 1,
O43316,PAX4,Paired box protein Pax-4,
O43320,FGF16,Fibroblast growth factor 16,
O43364,HOXA2,Homeobox protein Hox-A2,
O43396,TXNL1,Thioredoxin-like protein 1,
O43399,TPD52L2,Tumor protein D54,
O43405,COCH,Cochlin,
O43422,THAP12,52 kDa repressor of the inhibitor of the protein kinase,
O43423,ANP32CP,Putative uncharacterized protein ANP32CP,
O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,
O43464,HTRA2,Serine protease HTRA2,
O43474,KLF4,Krueppel-like factor 4,
O43490,PROM1,Prominin-1,
O43491,EPB41L2,Band 4.1-like protein 2,
O43493,TGOLN2,Trans-Golgi network integral membrane protein 2,
O43504,LAMTOR5,Ragulator complex protein LAMTOR5,
O43505,B4GAT1,Beta-1,
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12,
O43521,BCL2L11,Bcl-2-like protein 11,
O43524,FOXO3,Forkhead box protein O3,
O43543,XRCC2,DNA repair protein XRCC2,
O43548,TGM5,Protein-glutamine gamma-glutamyltransferase 5,
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14,
O43561,LAT,Linker for activation of T-cells family member 1,
O43570,CA12,Carbonic anhydrase 12,
O43583,DENR,Density-regulated protein,
O43586,PSTPIP1,Proline-serine-threonine phosphatase-interacting protein 1,
O43597,SPRY2,Protein sprouty homolog 2,
O43598,DNPH1,5-hydroxymethyl-dUMP N-hydrolase,
O43639,NCK2,Cytoplasmic protein NCK2,
O43653,PSCA,Prostate stem cell antigen,
O43660,PLRG1,Pleiotropic regulator 1,
O43663,PRC1,Protein regulator of cytokinesis 1,
O43665,RGS10,Regulator of G-protein signaling 10,
O43670,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,
O43681,GET3,ATPase GET3,
O43687,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta,
O43699,SIGLEC6,Sialic acid-binding Ig-like lectin 6,
O43707,ACTN4,Alpha-actinin-4,
O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1,
O43716,GATC,Glutamyl-tRNA(Gln) amidotransferase subunit C,
O43734,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,
O43736,ITM2A,Integral membrane protein 2A,
O43739,CYTH3,Cytohesin-3,
O43747,AP1G1,AP-1 complex subunit gamma-1,
O43752,STX6,Syntaxin-6,
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,
O43768,ENSA,Alpha-endosulfine,
O43776,NARS1,Asparagine--tRNA ligase,
O43805,SSNA1,Microtubule nucleation factor SSNA1,
O43815,STRN,Striatin,
O43822,CFAP410,Cilia- and flagella-associated protein 410,
O43823,AKAP8,A-kinase anchor protein 8,
O43827,ANGPTL7,Angiopoietin-related protein 7,
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,
O43866,CD5L,CD5 antigen-like,
O43889,CREB3,Cyclic AMP-responsive element-binding protein 3,
O43895,XPNPEP2,Xaa-Pro aminopeptidase 2,
O43896,KIF1C,Kinesin-like protein KIF1C,
O43903,GAS2,Growth arrest-specific protein 2,
O43909,EXTL3,Exostosin-like 3,
O43915,VEGFD,Vascular endothelial growth factor D,
O43916,CHST1,Carbohydrate sulfotransferase 1,
O43927,CXCL13,C-X-C motif chemokine 13,
O60218,AKR1B10,Aldo-keto reductase family 1 member B10,
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,
O60225,SSX5,Protein SSX5,
O60229,KALRN,Kalirin,
O60232,ZNRD2,Protein ZNRD2,
O60234,GMFG,Glia maturation factor gamma,
O60235,TMPRSS11D,Transmembrane protease serine 11D,
O60237,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,
O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,
O60239,SH3BP5,SH3 domain-binding protein 5,
O60240,PLIN1,Perilipin-1,
O60242,ADGRB3,Adhesion G protein-coupled receptor B3,
O60243,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,
O60245,PCDH7,Protocadherin-7,
O60259,KLK8,Kallikrein-8,
O60260,PRKN,E3 ubiquitin-protein ligase parkin,
O60266,ADCY3,Adenylate cyclase type 3,
O60268,KIAA0513,Uncharacterized protein KIAA0513,
O60269,GPRIN2,G protein-regulated inducer of neurite outgrowth 2,
O60271,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,
O60279,SUSD5,Sushi domain-containing protein 5,
O60282,KIF5C,Kinesin heavy chain isoform 5C,
O60299,LZTS3,Leucine zipper putative tumor suppressor 3,
O60308,CEP104,Centrosomal protein of 104 kDa,
O60318,MCM3AP,Germinal-center associated nuclear protein,
O60336,MAPKBP1,Mitogen-activated protein kinase-binding protein 1,
O60341,KDM1A,Lysine-specific histone demethylase 1A,
O60356,NUPR1,Nuclear protein 1,
O60437,PPL,Periplakin,
O60447,EVI5,Ecotropic viral integration site 5 protein homolog,
O60449,LY75,Lymphocyte antigen 75,
O60462,NRP2,Neuropilin-2,
O60469,DSCAM,Cell adhesion molecule DSCAM,
O60476,MAN1A2,Mannosyl-oligosaccharide 1,
O60479,DLX3,Homeobox protein DLX-3,
O60481,ZIC3,Zinc finger protein ZIC 3,
O60496,DOK2,Docking protein 2,
O60500,NPHS1,Nephrin,
O60502,OGA,Protein O-GlcNAcase,
O60518,RANBP6,Ran-binding protein 6,
O60542,PSPN,Persephin,
O60566,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,
O60568,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2,
O60575,SPINK4,Serine protease inhibitor Kazal-type 4,
O60603,TLR2,Toll-like receptor 2,
O60609,GFRA3,GDNF family receptor alpha-3,
O60635,TSPAN1,Tetraspanin-1,
O60641,SNAP91,Clathrin coat assembly protein AP180,
O60662,KLHL41,Kelch-like protein 41,
O60664,PLIN3,Perilipin-3,
O60678,PRMT3,Protein arginine N-methyltransferase 3,
O60701,UGDH,UDP-glucose 6-dehydrogenase,
O60711,LPXN,Leupaxin,
O60716,CTNND1,Catenin delta-1,
O60749,SNX2,Sorting nexin-2,
O60760,HPGDS,Hematopoietic prostaglandin D synthase,
O60763,USO1,General vesicular transport factor p115,
O60825,PFKFB2,6-phosphofructo-2-kinase/fructose-2,
O60828,PQBP1,Polyglutamine-binding protein 1,
O60861,GAS7,Growth arrest-specific protein 7,
O60869,EDF1,Endothelial differentiation-related factor 1,
O60870,KIN,DNA/RNA-binding protein KIN17,
O60880,SH2D1A,SH2 domain-containing protein 1A,
O60884,DNAJA2,DnaJ homolog subfamily A member 2,
O60885,BRD4,Bromodomain-containing protein 4,
O60890,OPHN1,Oligophrenin-1,
O60895,RAMP2,Receptor activity-modifying protein 2,
O60896,RAMP3,Receptor activity-modifying protein 3,
O60902,SHOX2,Short stature homeobox protein 2,
O60907,TBL1X,F-box-like/WD repeat-containing protein TBL1X,
O60911,CTSV,Cathepsin L2,
O60934,NBN,Nibrin,
O60936,NOL3,Nucleolar protein 3,
O60939,SCN2B,Sodium channel subunit beta-2,
O60941,DTNB,Dystrobrevin beta,
O71037,ERVK-19,Endogenous retrovirus group K member 19 Env polyprotein,
O75023,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5,
O75031,HSF2BP,Heat shock factor 2-binding protein,
O75044,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,
O75051,PLXNA2,Plexin-A2,
O75054,IGSF3,Immunoglobulin superfamily member 3,
O75056,SDC3,Syndecan-3,
O75061,DNAJC6,Auxilin,
O75077,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,
O75112,LDB3,LIM domain-binding protein 3,
O75121,MFAP3L,Microfibrillar-associated protein 3-like,
O75128,COBL,Protein cordon-bleu,
O75132,ZBED4,Zinc finger BED domain-containing protein 4,
O75143,ATG13,Autophagy-related protein 13,
O75144,ICOSLG,ICOS ligand,
O75146,HIP1R,Huntingtin-interacting protein 1-related protein,
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B,
O75154,RAB11FIP3,Rab11 family-interacting protein 3,
O75167,PHACTR2,Phosphatase and actin regulator 2,
O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,
O75173,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,
O75182,SIN3B,Paired amphipathic helix protein Sin3b,
O75223,GGCT,Gamma-glutamylcyclotransferase,
O75293,GADD45B,Growth arrest and DNA damage-inducible protein GADD45 beta,
O75312,ZPR1,Zinc finger protein ZPR1,
O75326,SEMA7A,Semaphorin-7A,
O75330,HMMR,Hyaluronan mediated motility receptor,
O75334,PPFIA2,Liprin-alpha-2,
O75335,PPFIA4,Liprin-alpha-4,
O75339,CILP,Cartilage intermediate layer protein 1,
O75340,PDCD6,Programmed cell death protein 6,
O75347,TBCA,Tubulin-specific chaperone A,
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,
